filename,annotation
koajaesby7cmhujlcwkl.jpg,"Game has genres: Shooter, Platform, Puzzle, Adventure; perspectives: First person. this game screenshot shows a robot in a futuristic city"
poegvjadtys8fflxpxnu.jpg,"Game has genres: Shooter, Platform, Puzzle, Adventure; perspectives: First person. this game screenshot shows a red room with a red light"
lrx26njeiciksjqby7ou.jpg,"Game has genres: Shooter, Platform, Puzzle, Adventure; perspectives: First person. this game screenshot shows the inside of the room"
vux5gzepdeqvhvm84rcz.jpg,"Game has genres: Shooter, Platform, Puzzle, Adventure; perspectives: First person. this game screenshot shows the real - life of iron man"
jlt7ncnm7cheka0hmypd.jpg,"Game has genres: Shooter, Platform, Puzzle, Adventure; perspectives: First person. this game screenshot shows the inside of a room with a large screen"
vbr5pcodmqah56dbsc9v.jpg,"Game has genres: Shooter, Platform, Puzzle, Adventure; perspectives: First person. this game screenshot shows the game ' s main features"
uu9ch2azikxoc06kdlsm.jpg,"Game has genres: Shooter, Platform, Puzzle, Adventure; perspectives: First person. this game screenshot shows the game ' s main menu"
odn0rkifmflc0xusbovl.jpg,"Game has genres: Shooter, Platform, Puzzle, Adventure; perspectives: First person. this game screenshot shows a screenshot of a robot from the video game"
diemffq1eggulafx3bqm.jpg,"Game has genres: Shooter, Platform, Puzzle, Adventure; perspectives: First person. this game screenshot shows the inside of the room"
vbdsy0skk851bz9d5xic.jpg,"Game has genres: Shooter, Platform, Puzzle, Adventure; perspectives: First person. this game screenshot shows a robot that is a robot that is a robot that is a robot that is a robot that is"
iqfqrjvymtqgmy9liedj.jpg,"Game has genres: Shooter, Platform, Puzzle, Adventure; perspectives: First person. this game screenshot shows the game ' s main character, person, in a different way"
u8hzyqyvtimflivvlyqz.jpg,"Game has genres: Shooter, Platform, Puzzle, Adventure; perspectives: First person. this game screenshot shows the inside of the space station"
jxvcm3xvg1pf9cprec6p.jpg,"Game has genres: Role-playing (RPG), Turn-based strategy (TBS), Adventure; perspectives: Third person. this game screenshot shows a person in a room with a star on the floor"
t0c2nwyytglaaaxcique.jpg,"Game has genres: Role-playing (RPG), Turn-based strategy (TBS), Adventure; perspectives: Third person. this game screenshot shows the title screen of paper mario the thousand dog"
fmtjzidhkbulqfj4ckg1.jpg,"Game has genres: Role-playing (RPG), Turn-based strategy (TBS), Adventure; perspectives: Third person. this game screenshot shows the menu of mario ' s super mario"
qzfm3ttoba62crc5pyad.jpg,"Game has genres: Role-playing (RPG), Turn-based strategy (TBS), Adventure; perspectives: Third person. this game screenshot shows the game ' s main stage"
gwbhi4mgfp0irqtirmul.jpg,"Game has genres: Role-playing (RPG), Turn-based strategy (TBS), Adventure; perspectives: Third person. this game screenshot shows a scene from the game"
u1vc1kpujr4cks3asfol.jpg,"Game has genres: Role-playing (RPG), Turn-based strategy (TBS), Adventure; perspectives: Third person. this game screenshot shows a little bird in a forest"
juxexutt9xi32isjnjgf.jpg,"Game has genres: Role-playing (RPG), Turn-based strategy (TBS), Adventure; perspectives: Third person. this game screenshot shows a game that is a little bitty bitty bitty bitty bitty bitty bitty"
r76g63n0xnv2cvtdiosu.jpg,"Game has genres: Role-playing (RPG), Turn-based strategy (TBS), Adventure; perspectives: Third person. this game screenshot shows the game ' s main characters, including the super mario bros"
v3cgoh1mxdojgcochjgd.jpg,"Game has genres: Role-playing (RPG), Turn-based strategy (TBS), Adventure; perspectives: Third person. this game screenshot shows the game ' s main stage"
opbieprqjtsb6x07rj0t.jpg,"Game has genres: Role-playing (RPG), Turn-based strategy (TBS), Adventure; perspectives: Third person. this game screenshot shows a bunch of little birds in a forest"
ghx1qpaanoowvxtdmart.jpg,"Game has genres: Role-playing (RPG), Turn-based strategy (TBS), Adventure; perspectives: Third person. this game screenshot shows a scene from the video game"
twigua4k1ciknzymk3xd.jpg,"Game has genres: Platform, Adventure, Indie; perspectives: Side view. this game screenshot shows a turtle swimming in the ocean"
qsepmlfl1w1rpynso3qq.jpg,"Game has genres: Platform, Adventure, Indie; perspectives: Side view. this game screenshot shows a fish in a cave"
rpdjlm8y1hqnknxisygg.jpg,"Game has genres: Platform, Adventure, Indie; perspectives: Side view. this game screenshot shows the world of warcraft"
dfeiotk3t279cforglwh.jpg,"Game has genres: Platform, Adventure, Indie; perspectives: Side view. this game screenshot shows a fish in the ocean"
yau1acyymizmxz2ekq5m.jpg,"Game has genres: Platform, Adventure, Indie; perspectives: Side view. this game screenshot shows a turtle swimming over a sea of coral"
scppq3.jpg,"Game has genres: Platform, Adventure, Indie; perspectives: Side view. this game screenshot shows a fish in a cave"
ioxxz5cyqrb56cginhj6.jpg,"Game has genres: Platform, Role-playing (RPG), Adventure; perspectives: Side view. this game screenshot shows the final version of the classic video game"
nl5xkzm1tlmerrgcqrw2.jpg,"Game has genres: Platform, Role-playing (RPG), Adventure; perspectives: Side view. this game screenshot shows the game ' s main character"
schjh3.jpg,"Game has genres: Platform, Role-playing (RPG), Adventure; perspectives: Side view. this game screenshot shows the game ' s main characters"
schjh4.jpg,"Game has genres: Platform, Role-playing (RPG), Adventure; perspectives: Side view. this game screenshot shows the first level of the game"
schjh5.jpg,"Game has genres: Platform, Role-playing (RPG), Adventure; perspectives: Side view. this game screenshot shows the game ' s main character, the knight"
schjh6.jpg,"Game has genres: Platform, Role-playing (RPG), Adventure; perspectives: Side view. this game screenshot shows the game ' s menu"
schy4n.jpg,"Game has genres: Platform, Role-playing (RPG), Adventure; perspectives: Side view. this game screenshot shows the first level of the game"
sc6vob.jpg,"Game has genres: Shooter, Tactical, Adventure; perspectives: First person, Third person, Bird view / Isometric. this game screenshot shows a fire breathing man in a forest"
sc6vo9.jpg,"Game has genres: Shooter, Tactical, Adventure; perspectives: First person, Third person, Bird view / Isometric. this game screenshot shows a bridge in the middle of the game"
sc6vo7.jpg,"Game has genres: Shooter, Tactical, Adventure; perspectives: First person, Third person, Bird view / Isometric. this game screenshot shows a man in a forest"
scj1il.jpg,"Game has genres: Shooter, Tactical, Adventure; perspectives: First person, Third person, Bird view / Isometric. this game screenshot shows a soldier in the woods"
scj1im.jpg,"Game has genres: Shooter, Tactical, Adventure; perspectives: First person, Third person, Bird view / Isometric. this game screenshot shows a man in a forest"
scj1in.jpg,"Game has genres: Shooter, Tactical, Adventure; perspectives: First person, Third person, Bird view / Isometric. this game screenshot shows a sniper in a field"
scj1io.jpg,"Game has genres: Shooter, Tactical, Adventure; perspectives: First person, Third person, Bird view / Isometric. this game screenshot shows a soldier in the forest"
scj1ip.jpg,"Game has genres: Shooter, Tactical, Adventure; perspectives: First person, Third person, Bird view / Isometric. this game screenshot shows a waterfall in the forest"
k22nwxzx6eb4ek7xbjps.jpg,"Game has genres: Shooter, Role-playing (RPG), Adventure; perspectives: Third person. this game screenshot shows the first person shooter in mass 2"
xsdmofyywtzsgrcadaym.jpg,"Game has genres: Shooter, Role-playing (RPG), Adventure; perspectives: Third person. this game screenshot shows the new mass effect"
gzp0z0rcwlw3symd33gy.jpg,"Game has genres: Shooter, Role-playing (RPG), Adventure; perspectives: Third person. this game screenshot shows the characters of mass mass"
wvtfwo7zwey0j3mzvlbv.jpg,"Game has genres: Shooter, Role-playing (RPG), Adventure; perspectives: Third person. this game screenshot shows the first person in mass mass"
bk0fi4frntydsqma0g0q.jpg,"Game has genres: Shooter, Role-playing (RPG), Adventure; perspectives: Third person. this game screenshot shows the first person in mass mass"
sc8915.jpg,"Game has genres: Puzzle, Adventure; perspectives: Third person. this game screenshot shows a person walking down a dark hallway"
sc8917.jpg,"Game has genres: Puzzle, Adventure; perspectives: Third person. this game screenshot shows a woman in a red dress and a man in a black jacket"
sc8916.jpg,"Game has genres: Puzzle, Adventure; perspectives: Third person. this game screenshot shows the character in the game"
sc8919.jpg,"Game has genres: Puzzle, Adventure; perspectives: Third person. this game screenshot shows a bloody scene in the video game resident"
